Instance,Publication,Group,Date,Average_0Scale,Average_0Scale_Corrected
I0626_all,LipsonScience2018,Vietnam_N_all,1950-1650 BCE,-1800,-1800
I0627_all,LipsonScience2018,Vietnam_N_all,2131-1896 calBCE (3630±35 BP; Poz-81116; date suspect because C:N ratio of 3.68),-2014,-2014
I1137_all_published,LipsonScience2018,Vietnam_N_all_published,1882-1745 calBCE (3480±20 BP; PSUAMS-2410),-1814,-1814
I1859_all,LipsonScience2018,Vietnam_N_all,1887-1745 calBCE (3490±25 BP; PSUAMS-1920),-1816,-1816
I2497_all,LipsonScience2018,Vietnam_BA_all,150 BCE - 50 CE,-50,-50
I2731_all,LipsonScience2018,Vietnam_N_all,1869-1665 calBCE (3430±20 BP; PSUAMS-2370),-1767,-1767
I4451_all,LipsonCurrentBiology2018,Vanuatu_2300BP_all,410-210 calBCE (2348±32 BP; Wk-20390; marine correction applied according to Petchey et al. 2014),-310,-310
I0626,LipsonScience2018,Vietnam_N,1950-1650 BCE,-1800,-1800
I0627,LipsonScience2018,Vietnam_N,2131-1896 calBCE (3630±35 BP; Poz-81116; date suspect because C:N ratio of 3.68),-2014,-2014
I0944,NarasimhanPattersonScience2019,Russia_Petrovka,2023-1744 calBCE (3540±52 BP; AA-90949),-1884,-1884
I1135,LipsonScience2018,Vietnam_N,1876-1688 calBCE (3445±20 BP; PSUAMS-2409),-1782,-1782
I1137,LipsonScience2018,Vietnam_N_published,1882-1745 calBCE (3480±20 BP; PSUAMS-2410),-1814,-1814
I1781,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2009-1772 calBCE (3550±30 BP; PSUAMS-2065),-1891,-1890
I1782,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2288-2142 calBCE (3785±20 BP; PSUAMS-2309),-2215,-2215
I1787,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2139-1981 calBCE (3680±20 BP; PSUAMS-2310),-2060,-2060
I1788,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2127-1905 calBCE (3630±30 BP; PSUAMS-2066),-2016,-2016
I1789,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o2,2277-2030 calBCE (3735±35 BP; Poz-83486),-2154,-2154
I1790,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2134-1957 calBCE (3660±20 BP; PSUAMS-2311),-2046,-2046
I1792,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o,2458-2202 calBCE (3840±35 BP; Poz-83487),-2330,-2330
I1793,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2190-2029 calBCE (3700±20 BP; PSUAMS-2312),-2110,-2110
I1859,LipsonScience2018,Vietnam_N,1887-1745 calBCE (3490±25 BP; PSUAMS-1920),-1816,-1816
I2085,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2011-1886 calBCE (3580±20 BP; PSUAMS-2313),-1949,-1948
I2087,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2196-2034 calBCE (3715±20 BP; PSUAMS-2335),-2115,-2115
I2116,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2118-1883 calBCE (3605±35 BP; Poz-83490),-2001,-2000
I2121,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2203-2041 calBCE (3735±20 BP; PSUAMS-2314),-2122,-2122
I2122,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1_o2,2139-1981 calBCE (3680±20 BP; PSUAMS-2152),-2060,-2060
I2123,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_2,2452-2140 calBCE (3815±35 BP; Poz-83491),-2296,-2296
I2125,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2136-1977 calBCE (3670±20 BP; PSUAMS-2315),-2057,-2056
I2128,NarasimhanPattersonScience2019,Turkmenistan_Gonur_BA_1,2198-2036 calBCE (3720±20 BP; PSUAMS-2316),-2117,-2117
I2497,LipsonScience2018,Vietnam_BA,100 BCE - 100 CE,0,0
I2731,LipsonScience2018,Vietnam_N,1869-1665 calBCE (3430±20 BP; PSUAMS-2370),-1767,-1767
I2922,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2197-2027 calBCE (3705±25 BP; PSUAMS-2227),-2112,-2112
I2927,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2575-2350 calBCE (3970±30 BP; PSUAMS-1916),-2463,-2462
I2928,NarasimhanPattersonScience2019,Iran_C_TepeHissar,2858-2505 calBCE (4095±25 BP; PSUAMS-1917),-2682,-2682
